Model,R2,RMSE,MAE
Linear Regression,0.5609405804387545,38.61686371140572,11.628103184187042
Random Forest,0.9867390559368976,6.711236935205462,0.4768961400000089
XGBoost,0.9006191869574527,18.372430901304426,9.227599850317334
